Post_oldid,Real_ID,date,COVID_Post,RiskFactor_2_CTA,SocialDisparities_3_CTA,Debunk_4_CTA,UncertaintyReduction_5_CTA,Testing_6_CTA,Vaccine_7_CTA,Mental_8_YesNo,Emotion_9_Number,Praise_10_Number,Pop_11_Number,Language_12_Number,Action_13_CTA,Positive_14a_Number,Negative_14b_Number,Individual_14c_Number,Collective_14d_Number,State_ recode,Gov_poli,Trifecta,White_percent,minority_percent,Poverty_percent,ProspertiyRanking,year,month,day,state,cases
7857,6240,12/15/20,1,88,88,88,1,88,88,0,0,0,0,0,1,1,0,1,0,42,1,1,73.5,26.5,13.8,41,2020,12,15,TN,7978
7857,7857,2/29/20,1,88,88,88,1,88,88,0,0,0,1,0,1,0,0,0,0,34,1,1,83.7,16.3,10.5,9,2020,2,29,ND,
7858,6241,12/16/20,1,88,88,88,1,88,88,0,0,0,0,0,1,1,0,1,0,42,1,1,73.5,26.5,13.8,41,2020,12,16,TN,10894
7858,7858,2/28/20,1,88,88,88,1,88,88,0,0,0,0,0,1,0,0,0,0,34,1,1,83.7,16.3,10.5,9,2020,2,28,ND,
7859,6242,12/17/20,1,88,88,88,1,88,88,0,0,0,0,0,1,1,0,1,0,42,1,1,73.5,26.5,13.8,41,2020,12,17,TN,8877
7859,7859,2/27/20,1,88,88,88,3,88,88,0,0,0,0,0,3,0,0,0,0,34,1,1,83.7,16.3,10.5,9,2020,2,27,ND,
7860,6243,12/18/20,1,88,88,88,1,88,88,0,0,0,0,0,1,1,0,1,0,42,1,1,73.5,26.5,13.8,41,2020,12,18,TN,10079
7860,7860,2/27/20,1,1,88,88,1,88,88,0,0,0,0,0,1,0,0,0,0,34,1,1,83.7,16.3,10.5,9,2020,2,27,ND,
7861,6244,12/19/20,1,88,88,88,1,88,88,0,0,0,0,0,1,1,0,1,0,42,1,1,73.5,26.5,13.8,41,2020,12,19,TN,4193
7861,7861,2/25/20,1,88,88,88,0,88,88,0,0,0,0,0,0,0,0,0,0,34,1,1,83.7,16.3,10.5,9,2020,2,25,ND,
7862,6245,12/21/20,1,88,88,88,1,88,88,0,0,0,0,0,1,1,0,1,0,42,1,1,73.5,26.5,13.8,41,2020,12,21,TN,9265
7862,7862,2/16/20,1,88,88,88,1,88,88,0,0,0,0,0,1,0,0,0,0,34,1,1,83.7,16.3,10.5,9,2020,2,16,ND,
7863,7863,11/2/20,1,88,88,88,0,88,88,0,0,0,0,0,0,0,0,0,0,34,1,1,83.7,16.3,10.5,9,2020,11,2,ND,972
7863,6246,12/22/20,1,88,88,88,1,88,88,0,0,0,0,0,1,1,0,1,0,42,1,1,73.5,26.5,13.8,41,2020,12,22,TN,4330
7864,7864,6/2/20,1,88,88,88,1,88,88,0,0,0,0,0,1,1,0,0,1,34,1,1,83.7,16.3,10.5,9,2020,6,2,ND,21
7864,6247,12/23/20,1,88,88,88,1,88,88,0,0,0,0,0,1,1,0,1,0,42,1,1,73.5,26.5,13.8,41,2020,12,23,TN,7851
7865,6248,12/24/20,1,88,88,88,1,88,88,0,0,0,0,0,1,1,0,1,0,42,1,1,73.5,26.5,13.8,41,2020,12,24,TN,5049
7865,7865,1/31/20,1,88,88,88,3,88,88,0,0,0,0,0,3,0,0,0,0,34,1,1,83.7,16.3,10.5,9,2020,1,31,ND,
7866,6249,12/25/20,1,88,88,88,1,88,88,0,0,0,0,0,1,1,0,1,0,42,1,1,73.5,26.5,13.8,41,2020,12,25,TN,8892
7866,7866,1/28/20,1,88,88,88,0,88,88,0,0,0,0,0,0,0,0,0,0,34,1,1,83.7,16.3,10.5,9,2020,1,28,ND,
7867,7867,10/1/20,1,88,88,88,0,88,0,0,0,0,1,0,0,0,0,0,0,34,1,1,83.7,16.3,10.5,9,2020,10,1,ND,372
7867,6250,12/28/20,1,88,88,88,1,88,88,0,0,0,0,0,1,1,0,1,0,42,1,1,73.5,26.5,13.8,41,2020,12,28,TN,3495
7868,7868,12/30/20,1,88,88,88,1,88,88,0,0,0,0,0,1,0,0,0,0,31,2,2,36.8,63.2,17.5,45,2020,12,30,NM,1311
7868,6251,12/29/20,1,88,88,88,1,88,88,0,0,0,0,0,1,1,0,1,0,42,1,1,73.5,26.5,13.8,41,2020,12,29,TN,4760
7869,7869,12/29/20,1,88,88,88,1,88,88,0,0,0,0,0,1,0,0,0,0,31,2,2,36.8,63.2,17.5,45,2020,12,29,NM,1249
7869,6252,12/30/20,1,88,88,88,1,88,88,0,0,0,0,0,1,1,0,1,0,42,1,1,73.5,26.5,13.8,41,2020,12,30,TN,8903
